preds	count	median	std
['OP', 'AV']	1734	667.0	1585.4449688084321
['OP', 'DS']	9	460.0	381.30623446836586
['OP', 'IP', 'DS']	168	518.0	715.6521919512276
['OP', 'IP', 'RV', 'DS']	305	520.0	933.0372146821801
['OP', 'IP', 'RV']	69	550.0	659.7485580481002
['OP', 'IP']	106	529.0	1335.2814383778987
['OP', 'NB', 'RV']	2	256.5	34.64823227814083
['OP', 'NB']	14	347.0	736.8608797079378
['OP', 'NE', 'OB']	45	411.0	505.47227641308103
['OP', 'NE']	142	481.5	989.948745354893
['OP', 'OB']	17219	612.0	2225.979458960958
['OP', 'RS']	8103	577.0	2884.2808625589023
['OP', 'RV', 'DS']	50	501.0	679.7340716510137
['OP', 'RV']	31173	497.0	1187.8306062199806
['OP']	39533	553.0	1357.9473208414165
['RS']	2	152.5	19.091883092036785
['RV', 'DS']	1	122.0	
['RV']	72	179.0	258.73020854506245
['SP', 'IN', 'DTP']	1	2467.0	
['SP', 'IN', 'IT']	4	845.5	691.444140910891
['SP', 'IN']	37	659.0	1637.9459670547715
['SP', 'IT', 'SR']	2	2481.5	1945.2507550441921
['SP', 'IT']	3221	887.0	1532.4477532744886
['SP', 'NA', 'IT', 'SR']	38	944.5	474.85381744007395
['SP', 'NA', 'IT']	34	914.5	700.6737831870356
['SP', 'NA', 'NE']	2	608.0	38.18376618407357
['SP', 'NA', 'SR']	61	885.0	1079.9813606466837
['SP', 'NA']	82	849.5	1346.0297976642046
['SP', 'OP']	1	422.0	
['SP', 'SR']	2	1981.5	1033.083007313546
['SP']	1158	904.5	2264.5619461605193
['SR']	55	568.0	692.2352867745851
[]	89443	366.0	1305.7553178986623
