preds	count	median	std
['LY', 'IP']	21	196.0	191.11518591078593
['LY', 'NA', 'NB']	78	277.0	853.0965839527091
['LY', 'NA']	266	286.0	1407.7192153432816
['LY', 'OP', 'RS']	9	197.0	260.1432297792891
['LY', 'OP']	8	298.5	261.8112392545438
['LY', 'RS']	2	97.5	2.1213203435596424
['LY']	3143	258.0	1089.8839895893286
['MT', 'DS']	9	389.0	442.99971783286725
['MT', 'HI']	40	595.0	809.1879749762436
['MT', 'ID']	10	606.5	574.1177676323135
['MT', 'IN', 'FI']	8	250.5	62.72616223372373
['MT', 'IN', 'IP', 'DS']	1	199.0	
['MT', 'IN', 'IP', 'FI', 'DS']	2	746.0	196.5756851698602
['MT', 'IN', 'LT']	1	646.0	
['MT', 'IN']	81	522.0	515.0352927497083
['MT', 'IP', 'DS']	1666	361.0	819.6140091461915
['MT', 'IP', 'RV', 'DS']	11	388.0	347.90696248487836
['MT', 'IP', 'RV']	2	92.0	9.899494936611665
['MT', 'IP']	420	566.5	1640.990253972348
['MT', 'NA', 'NE']	1	334.0	
['MT', 'NA']	6	409.0	320.5954875956096
['MT', 'OP', 'IP', 'DS']	2	719.0	374.7665940288702
['MT', 'OP', 'IP', 'RV', 'DS']	61	434.0	501.53071919383154
['MT', 'OP', 'IP', 'RV']	3	134.0	133.08017633491974
['MT', 'OP', 'RS']	1	1363.0	
['MT', 'OP', 'RV']	298	259.0	544.8162722332514
['MT', 'OP']	16	527.0	563.5558497907136
['MT', 'RV']	5	233.0	248.3511626709245
['MT']	18143	721.0	1069.9475383609642
['NA', 'AV']	21	412.0	315.9850207420177
['NA', 'DTP']	463	457.0	532.092499996691
['NA', 'HI', 'IP', 'NB']	2	322.0	63.63961030678928
['NA', 'HI', 'IP']	3	251.0	21.962088546705512
['NA', 'HI', 'NB', 'AV']	1	376.0	
['NA', 'HI', 'NB', 'RE']	3070	445.5	745.0431740972272
['NA', 'HI', 'NB']	676	415.0	1148.6249178856112
['NA', 'HI', 'NE']	1	144.0	
['NA', 'HI', 'OP', 'NB', 'RE', 'RV']	1	528.0	
['NA', 'HI', 'OP', 'NB', 'RE']	1	364.0	
['NA', 'HI', 'OP', 'NB', 'RV']	1	1129.0	
['NA', 'HI', 'RE']	102	269.0	476.933992393464
['NA', 'HI']	79	381.0	382.8114916045644
['NA', 'IN', 'DTP']	2054	465.5	979.1573941177809
['NA', 'IN', 'EN']	2	1285.5	1396.5358928434314
['NA', 'IN', 'IP', 'DTP']	39	400.0	346.7175401267997
['NA', 'IN', 'IP', 'NB', 'DTP']	4	391.5	72.66532873386042
['NA', 'IN', 'IP', 'NB']	3	287.0	98.67792728535258
['NA', 'IN', 'IP']	13	385.0	290.22279240398956
['NA', 'IN', 'NB', 'DTP']	79	309.0	603.3328552649268
['NA', 'IN', 'NB']	237	379.0	1481.8960872145744
['NA', 'IN', 'NE', 'DTP']	18	208.0	267.4358086807111
['NA', 'IN', 'NE']	489	323.0	1948.7388727559714
['NA', 'IN']	3081	430.0	2001.9803906991558
['NA', 'IP', 'AV']	3	345.0	291.9252187347529
['NA', 'IP', 'DS']	788	313.0	518.4558033710772
['NA', 'IP', 'DTP']	44	451.5	482.33057580375277
['NA', 'IP', 'NB', 'AV']	3	693.0	512.469836510729
['NA', 'IP', 'NB', 'DS']	270	339.0	1256.5425348978185
['NA', 'IP', 'NB', 'DTP']	1	942.0	
['NA', 'IP', 'NB', 'RV', 'DS']	1	314.0	
['NA', 'IP', 'NB', 'RV']	10	642.5	305.44948664040817
['NA', 'IP', 'NB']	6339	288.0	797.5608701850729
['NA', 'IP', 'NE', 'DS']	157	302.0	347.7982238653988
['NA', 'IP', 'NE', 'NB']	6	534.0	372.09676160912767
['NA', 'IP', 'NE']	4031	259.0	441.65816787527547
['NA', 'IP', 'RV']	3	439.0	420.92160790341944
['NA', 'IP', 'SR', 'DS']	1	205.0	
['NA', 'IP', 'SR']	27	264.0	270.733166223585
['NA', 'IP']	10071	302.0	749.901783032118
['NA', 'IT', 'NB']	1	197.0	
['NA', 'NB', 'AV']	24	573.5	448.995973320442
['NA', 'NB', 'DTP']	15	303.0	1625.5328269304716
['NA', 'NB', 'OB']	2	348.5	325.9762261269984
['NA', 'NB', 'RE']	17	690.0	587.7540877331768
['NA', 'NB', 'RV']	67	375.0	352.04331188346913
['NA', 'NB']	76469	327.0	1180.0622115431997
['NA', 'NE', 'DTP']	9	194.0	223.68380460919482
['NA', 'NE', 'NB']	246	218.5	580.1118098948045
['NA', 'NE', 'RS']	1	372.0	
['NA', 'NE', 'SR']	352	235.0	373.08668374364396
['NA', 'NE']	128516	311.0	684.1866303547165
['NA', 'OB']	5	553.0	2014.6348304345381
['NA', 'OP', 'AV']	160	591.5	795.1497078049689
['NA', 'OP', 'IP', 'AV']	1	429.0	
['NA', 'OP', 'IP', 'NB', 'AV']	3	753.0	196.29654437440647
['NA', 'OP', 'IP', 'NB', 'DS']	3	412.0	170.90640713560157
['NA', 'OP', 'IP', 'NB', 'RV', 'DS']	2	646.5	106.77312395916867
['NA', 'OP', 'IP', 'NB', 'RV']	43	483.0	484.85664559476606
['NA', 'OP', 'IP', 'NB']	19	307.0	342.66053991382654
['NA', 'OP', 'IP', 'RV', 'DS']	5	503.0	180.0369406538558
['NA', 'OP', 'IP', 'RV']	33	321.0	218.8642948163417
['NA', 'OP', 'IP']	18	468.0	337.46132676030226
['NA', 'OP', 'NB', 'AV']	130	625.0	1353.7328867770775
['NA', 'OP', 'NB', 'OB']	212	668.0	2905.8369366964184
['NA', 'OP', 'NB', 'RS']	11	411.0	1344.9633452254377
['NA', 'OP', 'NB', 'RV']	4308	516.0	1022.3068176371944
['NA', 'OP', 'NB']	2103	528.0	1207.285399836446
['NA', 'OP', 'NE', 'RS']	4	201.5	151.05076409384142
['NA', 'OP', 'NE']	30	476.0	991.62661910829
['NA', 'OP', 'OB']	311	499.0	1267.013231429476
['NA', 'OP', 'RS']	56	554.5	2259.2994172570807
['NA', 'OP', 'RV']	1319	477.0	882.3094633309382
['NA', 'OP', 'SR']	11	462.0	524.2776675839557
['NA', 'OP']	1990	484.0	1259.839241820962
['NA', 'RS']	5	298.0	124.16843399189668
['NA', 'RV']	62	410.0	1654.1053589792623
['NA', 'SR', 'NB']	366	273.0	426.98343652184184
['NA', 'SR']	21595	294.0	611.138087575077
['NA']	36138	392.0	1463.5768746627389
['NB', 'AV']	1	646.0	
['NB', 'RV']	1	553.0	
['NB']	325	247.0	1022.7931874677715
['NE']	36	147.0	597.3000442467277
['OB']	29	377.0	2465.8341138136784
['OP', 'AV']	10713	594.0	789.6320269694993
['OP', 'DS']	1	217.0	
['OP', 'DTP', 'RV']	5	418.0	1015.5551683685136
['OP', 'DTP']	2	300.5	6.363961030678928
['OP', 'IP', 'AV', 'DS']	206	447.5	844.402083106183
['OP', 'IP', 'AV']	811	539.0	992.5600119678554
['OP', 'IP', 'DS']	827	472.0	4943.675273341095
['OP', 'IP', 'ED']	2	2793.5	348.6036431249679
['OP', 'IP', 'NB', 'RV', 'AV']	1	573.0	
['OP', 'IP', 'NB', 'RV', 'DS']	2	306.5	113.84419177103415
['OP', 'IP', 'NB', 'RV']	7	560.0	483.2181800427314
['OP', 'IP', 'NB']	6	696.5	414.011956349089
['OP', 'IP', 'OB']	76	676.0	1224.0256443678684
['OP', 'IP', 'RS', 'DS']	2	405.5	383.9589821842953
['OP', 'IP', 'RS']	26	258.5	180.72325209046522
['OP', 'IP', 'RV', 'AV']	16	1249.5	1256.1260486113645
['OP', 'IP', 'RV', 'DS']	5250	360.0	1472.1550649751928
['OP', 'IP', 'RV']	2655	368.0	1086.2054089894561
['OP', 'IP']	1151	507.0	2037.9668084548246
['OP', 'NB', 'AV']	18	534.0	987.1550924097935
['OP', 'NB', 'OB']	5	363.0	1079.276748568225
['OP', 'NB', 'RV']	132	400.5	619.1340155071373
['OP', 'NB']	58	627.0	853.7769755720394
['OP', 'NE']	1	922.0	
['OP', 'OB']	20249	614.0	1885.5029707867486
['OP', 'RS', 'AV']	4	357.0	313.2755709169378
['OP', 'RS']	7907	574.0	3242.806928920401
['OP', 'RV', 'AV']	60	1288.5	1303.2737067869743
['OP', 'RV', 'DS']	13	474.0	839.4484911123311
['OP', 'RV', 'OB']	3	1590.0	1013.8763895728775
['OP', 'RV', 'RS']	1	186.0	
['OP', 'RV']	30271	449.0	1041.0718788429588
['OP', 'SR']	1	85.0	
['OP']	13131	570.0	1618.7949487518347
['RS']	27	283.0	598.3580953379089
['RV']	212	271.0	1969.7280164073986
['SP', 'DTP']	1	637.0	
['SP', 'ID']	2	548.5	408.0006127446379
['SP', 'IN', 'DTP']	10	700.5	705.271618283024
['SP', 'IN', 'IT', 'DTP']	13	508.0	425.6469886823575
['SP', 'IN', 'IT']	19	590.0	444.62642180909614
['SP', 'IN']	21	629.0	483.60834704679496
['SP', 'IP', 'IT']	1	645.0	
['SP', 'IP']	2	1076.5	555.0788232314399
['SP', 'IT', 'DTP']	5	478.0	235.02191387187708
['SP', 'IT', 'RV']	1	1416.0	
['SP', 'IT', 'SR']	1	1221.0	
['SP', 'IT']	5406	816.5	1457.6840630354416
['SP', 'NA', 'DTP']	1	386.0	
['SP', 'NA', 'IN', 'DTP']	1	2571.0	
['SP', 'NA', 'IP', 'IT']	1	930.0	
['SP', 'NA', 'IP']	1	760.0	
['SP', 'NA', 'IT', 'NB']	13	908.0	596.9295689245174
['SP', 'NA', 'IT', 'SR']	186	531.0	1003.8010021141608
['SP', 'NA', 'IT']	1375	759.0	1135.5792419835223
['SP', 'NA', 'NB']	7	573.0	591.4217333398111
['SP', 'NA', 'NE']	9	744.0	616.6435581255819
['SP', 'NA', 'OP']	1	446.0	
['SP', 'NA', 'SR']	119	510.0	456.18518242767567
['SP', 'NA']	367	665.0	3716.68198761166
['SP', 'OP', 'IT', 'RV']	2	1105.5	1038.7398615630384
['SP', 'OP', 'IT']	2	1520.0	718.4204896855323
['SP', 'OP', 'RS']	1	1431.0	
['SP', 'OP', 'RV']	2	945.5	23.33452377915607
['SP', 'OP']	17	1065.0	701.0855028831655
['SP']	773	770.0	6031.374086744813
['SR']	18	261.0	753.7244885070163
[]	29949	348.0	1855.7902568082068
