preds	count	median	std
['IN', 'IP', 'DTP']	7495	222.0	853.3253245251711
['IN', 'IP', 'FI', 'DS']	113	481.0	475.08461918440156
['IN', 'IP', 'FI', 'LT', 'DS']	1	337.0	
['IN', 'IP', 'FI']	94	481.5	656.5328069367939
['IN', 'IP', 'LT', 'DS']	477	280.0	487.2065903722622
['IN', 'IP', 'LT']	69	295.0	932.6351317651279
['IN', 'IP', 'NB', 'DTP']	9	284.0	512.1480363245681
['IN', 'IP', 'NB']	30	293.0	564.0834300810068
['IN', 'IP', 'RA', 'DS']	1	259.0	
['IN', 'IP', 'RV', 'DS']	3	163.0	151.594854793954
['IN', 'IP']	9984	311.0	1079.5310731427076
['IN', 'IT']	1	178.0	
['IN', 'LT', 'DS']	1	501.0	
['IN', 'LT']	8376	599.0	4067.6122408141073
['IN', 'NB', 'AV']	3	155.0	116.63189958154673
['IN', 'NB', 'DTP']	7	155.0	130.37619560699102
['IN', 'NB']	73	226.0	855.948774632291
['IN', 'NE', 'RA']	1	242.0	
['IN', 'NE']	46	164.0	511.8951135207064
['IN', 'OB']	4	741.5	360.8254425619125
['IN', 'OP', 'AV']	1075	514.0	873.2960039454694
['IN', 'OP', 'DTP', 'AV']	2	186.5	89.80256121069154
['IN', 'OP', 'DTP', 'RS']	8	264.0	292.23910831470084
['IN', 'OP', 'DTP', 'RV']	23	449.0	367.6063208306197
['IN', 'OP', 'DTP']	41	452.0	726.1908797984446
['IN', 'OP', 'EN', 'RS']	4	435.0	7839.620122599478
['IN', 'OP', 'FI', 'AV']	1	385.0	
['IN', 'OP', 'FI', 'RV']	1	1200.0	
['IN', 'OP', 'FI']	2	878.0	650.5382386916237
['IN', 'OP', 'IP', 'AV', 'DS']	5	563.0	167.84903931807295
['IN', 'OP', 'IP', 'AV']	74	511.5	677.6308437106587
['IN', 'OP', 'IP', 'DS']	15	412.0	411.9357555088738
['IN', 'OP', 'IP', 'DTP', 'DS']	1	765.0	
['IN', 'OP', 'IP', 'DTP', 'RV', 'DS']	1	366.0	
['IN', 'OP', 'IP', 'DTP']	3	446.0	88.44395588921458
['IN', 'OP', 'IP', 'RV', 'AV']	1	768.0	
['IN', 'OP', 'IP', 'RV', 'DS']	7	341.0	667.9308490013161
['IN', 'OP', 'IP', 'RV']	10	480.0	1265.6275079536194
['IN', 'OP', 'IP']	49	506.0	809.8515017779326
['IN', 'OP', 'NB', 'AV']	2	263.5	132.22896808188437
['IN', 'OP', 'NB']	2	1730.0	510.5310960166873
['IN', 'OP', 'OB']	9	1111.0	2793.8246236615814
['IN', 'OP', 'RA']	1	11300.0	
['IN', 'OP', 'RS']	86	389.0	1106.66763398971
['IN', 'OP', 'RV', 'AV']	15	631.0	796.0888021774838
['IN', 'OP', 'RV']	162	482.5	701.9699428243251
['IN', 'OP']	658	500.0	1462.2113067619214
['IN', 'RA', 'DTP']	57	272.0	1664.936034995509
['IN', 'RA']	4286	378.0	3441.066680686974
['IN', 'RS']	5	469.0	1570.093850698104
['IN', 'RV', 'DS']	1	3084.0	
['IN', 'RV']	15	278.0	285.77575291193085
['IN']	34496	477.0	2837.953850935973
['IP', 'AV', 'DS']	377	384.0	607.1895490691408
['IP', 'AV']	261	401.0	615.3629465349452
['IP', 'DS']	181217	197.0	747.8072695915548
['IP', 'DTP', 'DS']	26	257.0	253.22990466251142
['IP', 'DTP', 'RV', 'DS']	1	1871.0	
['IP', 'DTP', 'RV']	2	269.5	3.5355339059327378
['IP', 'DTP']	73	200.0	194.97820586166804
['IP', 'FI', 'DS']	1	480.0	
['IP', 'FI']	1	349.0	
['IP', 'LT', 'DS']	1	167.0	
['IP', 'NB', 'AV', 'DS']	4	350.5	222.13284313671403
['IP', 'NB', 'AV']	6	378.5	2858.9999242159256
['IP', 'NB', 'DS']	182	235.0	1221.105938860932
['IP', 'NB', 'DTP']	1	289.0	
['IP', 'NB', 'RV', 'DS']	1	85.0	
['IP', 'NB']	220	223.0	806.6163746934598
['IP', 'NE', 'DS']	3	132.0	938.7525410529302
['IP', 'NE']	6	127.0	50.689906950660976
['IP', 'OB']	5	572.0	2222.971479799055
['IP', 'RS']	7	329.0	98.39110490186359
['IP', 'RV', 'DS']	194	260.0	334.6420180932
['IP', 'RV']	22	250.5	343.7456682135564
['IP', 'SR', 'DS']	2	944.5	320.319371877506
['IP']	17242	198.0	1424.9790333649682
['IT']	1	720.0	
['LY', 'ID']	2	319.0	217.78888860545663
['LY', 'IN', 'DTP']	1	317.0	
['LY', 'IN', 'EN']	1	1039.0	
['LY', 'IN']	2	2137.0	151.32085117392117
['LY', 'IP']	23	227.0	1553.304534302461
['LY', 'NA', 'NB']	108	236.0	1338.354724873624
['LY', 'NA']	131	244.0	1108.2105392457518
['LY', 'OP', 'OB']	1	3443.0	
['LY', 'OP', 'RS']	9	244.0	97.09416963843802
['LY', 'OP']	6	210.0	63.669982461648814
['LY']	991	247.0	1239.131697795001
['MT', 'DS']	91	250.0	466.4373125561104
['MT', 'EN']	1	577.0	
['MT', 'HI', 'IN']	11	586.0	503.90599772720964
['MT', 'HI', 'IP', 'DS']	1	594.0	
['MT', 'HI', 'OP']	1	1003.0	
['MT', 'HI', 'RE']	8	527.5	356.53931860916225
['MT', 'HI']	1291	373.0	656.2073705928076
['MT', 'ID']	32	271.0	1204.0828723589023
['MT', 'IN', 'DTP']	17	493.0	3108.430623510274
['MT', 'IN', 'EN']	46	377.0	1189.729697714228
['MT', 'IN', 'FI']	55	147.0	124.50763096433155
['MT', 'IN', 'IP', 'DS']	20	468.5	561.7170106023138
['MT', 'IN', 'IP', 'FI', 'DS']	5	351.0	681.2060628033195
['MT', 'IN', 'IP', 'FI']	3	395.0	824.3751168814676
['MT', 'IN', 'IP', 'LT', 'DS']	1	1610.0	
['MT', 'IN', 'IP', 'LT']	1	244.0	
['MT', 'IN', 'IP', 'RV', 'DS']	1	124.0	
['MT', 'IN', 'IP']	11	686.0	287.9377773692845
['MT', 'IN', 'LT']	28	625.5	1209.7623290783783
['MT', 'IN', 'OP', 'FI', 'RV']	1	295.0	
['MT', 'IN', 'OP', 'RV']	4	291.0	293.0658344695494
['MT', 'IN', 'OP']	1	1261.0	
['MT', 'IN', 'RA']	7	210.0	818.7397691109243
['MT', 'IN']	1660	512.0	1642.5617573635714
['MT', 'IP', 'DS']	13739	239.0	439.5502176319388
['MT', 'IP', 'FI', 'DS']	2	495.5	270.82189719444773
['MT', 'IP', 'RV', 'DS']	140	285.0	214.13995997085803
['MT', 'IP']	1025	374.0	808.8236371094921
['MT', 'LY']	4	279.5	57.599189809116815
['MT', 'NA', 'NB']	3	229.0	149.74756536696458
['MT', 'NA', 'NE']	71	377.0	219.5196667832469
['MT', 'NA', 'SR']	34	299.5	293.29932147655853
['MT', 'NA']	72	434.5	3986.4677046688544
['MT', 'NB']	1	114.0	
['MT', 'NE']	1	226.0	
['MT', 'OP', 'AV']	9	1083.0	392.73655292065695
['MT', 'OP', 'IP', 'DS']	5	658.0	742.6666816277677
['MT', 'OP', 'IP', 'RV', 'DS']	678	296.5	262.7053222587962
['MT', 'OP', 'IP', 'RV']	55	132.0	171.40040741870968
['MT', 'OP', 'IP']	2	2070.5	133.64318164425748
['MT', 'OP', 'RS']	3	1161.0	1529.9782133525082
['MT', 'OP', 'RV', 'DS']	9	311.0	176.89175911965046
['MT', 'OP', 'RV']	1992	335.5	452.28308558132517
['MT', 'OP']	108	621.5	1385.0037960130571
['MT', 'RV']	10	358.0	229.85173965454825
['MT', 'SP', 'IT']	1	739.0	
['MT', 'SR']	1	333.0	
['MT']	38084	402.0	1747.0900306983694
['NA', 'AV']	68	448.0	536.1744045535296
['NA', 'DTP']	161	497.0	444.2224624194645
['NA', 'HI', 'AV']	17	305.0	203.87993871826797
['NA', 'HI', 'IN', 'IP', 'NB']	1	604.0	
['NA', 'HI', 'IN', 'IP']	1	397.0	
['NA', 'HI', 'IN', 'NB']	7	386.0	113.5618145077196
['NA', 'HI', 'IN', 'OP', 'NB']	1	498.0	
['NA', 'HI', 'IN']	8	225.5	252.4734427335166
['NA', 'HI', 'IP', 'DS']	2	261.5	14.849242404917497
['NA', 'HI', 'IP', 'NB', 'RE']	4	342.0	92.69079422107319
['NA', 'HI', 'IP', 'NB']	16	417.0	460.1410653267104
['NA', 'HI', 'IP', 'RE']	2	362.5	68.58935777509511
['NA', 'HI', 'IP']	9	284.0	191.9905234929868
['NA', 'HI', 'NB', 'AV']	9	579.0	580.6271991944956
['NA', 'HI', 'NB', 'RE', 'RV']	1	248.0	
['NA', 'HI', 'NB', 'RE']	6350	329.0	981.0340559280022
['NA', 'HI', 'NB']	920	349.0	874.2443277750377
['NA', 'HI', 'NE']	5	148.0	55.09355679206054
['NA', 'HI', 'OP', 'AV']	10	515.5	207.8593541583133
['NA', 'HI', 'OP', 'NB', 'AV']	16	539.5	339.6158552933986
['NA', 'HI', 'OP', 'NB', 'RE', 'RV']	6	363.5	62.25672654420565
['NA', 'HI', 'OP', 'NB', 'RV']	1	506.0	
['NA', 'HI', 'OP', 'NB']	8	587.0	214.79275726017525
['NA', 'HI', 'RE']	106	211.0	583.6009317412031
['NA', 'HI']	119	285.0	389.23245240891845
['NA', 'IN', 'DTP']	3049	319.0	934.436109560099
['NA', 'IN', 'EN', 'DTP']	8	466.0	794.1093843329861
['NA', 'IN', 'EN']	65	372.0	763.8402367063013
['NA', 'IN', 'IP', 'DS']	4	299.5	119.223529556879
['NA', 'IN', 'IP', 'DTP', 'DS']	2	380.5	197.28279195104676
['NA', 'IN', 'IP', 'DTP']	283	295.0	473.6187689644645
['NA', 'IN', 'IP', 'NB', 'DS']	1	324.0	
['NA', 'IN', 'IP', 'NB', 'DTP']	78	327.0	183.25425337116016
['NA', 'IN', 'IP', 'NB']	184	252.5	812.0388765678007
['NA', 'IN', 'IP', 'NE']	1	131.0	
['NA', 'IN', 'IP']	225	263.0	908.6493343296837
['NA', 'IN', 'LT']	10	1104.5	705.538793326695
['NA', 'IN', 'NB', 'AV']	1	608.0	
['NA', 'IN', 'NB', 'DTP']	491	252.0	969.1779049947377
['NA', 'IN', 'NB']	1096	292.5	1286.5731826359158
['NA', 'IN', 'NE', 'DTP']	47	168.0	230.17838073225238
['NA', 'IN', 'NE', 'NB']	1	128.0	
['NA', 'IN', 'NE', 'RA']	4	443.5	123.76590806841762
['NA', 'IN', 'NE']	1464	269.0	809.5933286096617
['NA', 'IN', 'OP', 'AV']	1	537.0	
['NA', 'IN', 'OP', 'NB', 'AV']	1	4203.0	
['NA', 'IN', 'OP', 'NB']	10	397.5	233.87795962852078
['NA', 'IN', 'OP', 'RV']	2	366.5	142.12846301849606
['NA', 'IN', 'OP']	14	472.0	241.08281373196863
['NA', 'IN', 'RA']	7	363.0	211.9253013052791
['NA', 'IN', 'RV']	1	2895.0	
['NA', 'IN', 'SR']	10	418.0	1435.6280236266712
['NA', 'IN']	5746	364.0	1748.9366740056848
['NA', 'IP', 'AV', 'DS']	1	1850.0	
['NA', 'IP', 'AV']	25	471.0	1030.1669330744412
['NA', 'IP', 'DS']	2316	305.0	660.1136043950946
['NA', 'IP', 'DTP', 'DS']	2	414.0	148.49242404917499
['NA', 'IP', 'DTP']	33	276.0	233.38718804907552
['NA', 'IP', 'NB', 'AV', 'DS']	6	466.5	346.3705626444988
['NA', 'IP', 'NB', 'AV']	28	376.0	244.5379402726788
['NA', 'IP', 'NB', 'DS']	2175	283.0	822.2977992659997
['NA', 'IP', 'NB', 'DTP']	5	300.0	144.5918393271211
['NA', 'IP', 'NB', 'RE']	1	163.0	
['NA', 'IP', 'NB', 'RV', 'DS']	6	770.0	592.8337597224594
['NA', 'IP', 'NB', 'RV']	8	158.5	169.74413518166523
['NA', 'IP', 'NB']	11095	230.0	1357.2657337174949
['NA', 'IP', 'NE', 'DS']	730	272.0	371.17560604662657
