preds	count	median	std
['OP', 'IP', 'NB', 'RV']	1	322.0	
['OP', 'IP', 'NB']	3	234.0	25.57994005726623
['OP', 'IP', 'RV', 'DS']	1191	329.0	808.3994775700961
['OP', 'IP', 'RV']	861	352.0	685.559604189504
['OP', 'IP']	207	430.0	688.744330011014
['OP', 'NB', 'AV']	1	221.0	
['OP', 'NB', 'OB']	1	474.0	
['OP', 'NB', 'RV']	238	377.5	794.7048784700694
['OP', 'NB']	138	499.0	764.0899762818758
['OP', 'OB']	35053	478.0	1760.5078060340766
['OP', 'RS']	4369	509.0	2858.7003364380303
['OP', 'RV', 'AV']	3	525.0	1544.1233758997369
['OP', 'RV', 'DS']	5	168.0	397.097972797646
['OP', 'RV']	21724	398.0	1037.9708262653296
['OP']	14520	478.0	1627.1709221652975
['RS']	23	312.0	191.6418658411648
['RV']	190	295.5	514.0601083950819
['SP', 'IT']	3563	519.0	774.7470295431
['SP', 'NA', 'IT']	210	513.0	616.2734307653581
['SP', 'NA', 'NB']	1	476.0	
['SP', 'NA', 'SR']	58	404.0	727.9069682634321
['SP', 'NA']	300	492.5	523.5413100010273
['SP']	681	518.0	1197.5954445450375
['SR']	25	398.0	196.4806860737207
[]	77223	378.0	1559.27415928057
