preds	count	median	std
['OP']	18289	596.0	1670.4130598882662
['RS']	55	247.0	442.6991796201611
['RV']	492	271.5	779.3637142243399
['SP', 'IT']	5512	821.0	1442.1729529694737
['SP', 'NA', 'IT']	137	742.0	706.0624905444885
['SP', 'NA', 'SR']	59	514.0	420.8588613544879
['SP', 'NA']	215	622.0	1282.732967274804
['SP']	1218	751.5	4482.198489049992
['SR']	19	260.0	730.1739759041809
[]	109537	357.0	1583.859057542328
