	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
78	5.816811	7.9078107	1	1	1	1	6	ID	fr	forums	Latin	forums	None/not applicable
79	5.7727056	7.773295	1	1	1	1	6	ID	fr	forum	Latin	forum	None/not applicable
80	5.1109514	10.725234	1	1	5	6	5	ID	fr	edit	Latin	edit	None/not applicable
81	4.8257117	7.905668	1	1	1	5	6	ID	fr	discussion	Latin	discussion	None/not applicable
82	12.448415	6.839473	0	0	0	0	0	ID	fr	topic	Latin	topic	None/not applicable
83	3.7949197	11.973747	1	1	5	6	1	ID	fr	messages	Latin	messages	None/not applicable
84	9.402988	9.0340395	0	0	0	0	0	ID	fr	re	Latin	re	None/not applicable
85	4.936666	7.7540026	1	1	1	5	6	ID	fr	discussions	Latin	discussions	None/not applicable
86	2.216999	-11.05608	2	2	2	2	2	ID	fr	question	Latin	question	None/not applicable
87	12.540297	12.584817	3	3	3	3	7	ID	fr	bonjour	Latin	hello	None/not applicable
88	2.3510783	-10.571675	2	2	2	2	2	ID	fr	questions	Latin	questions	None/not applicable
89	9.893059	9.310562	0	0	0	0	0	ID	fr	ps	Latin	ps	None/not applicable
90	14.312183	13.462224	3	3	3	3	3	ID	fr	remercie	Latin	thank you 	None/not applicable
91	12.320018	13.378235	3	3	3	3	7	ID	fr	lol	Latin	lol	None/not applicable
92	4.1570983	11.680132	1	1	5	6	1	ID	fr	post	Latin	post	None/not applicable
93	9.851166	9.276673	0	0	0	0	0	ID	fr	pm	Latin	pm	None/not applicable
94	-3.6667566	-2.7542138	2	4	4	4	4	ID	fr	réponse	Latin	answer	None/not applicable
95	-3.959824	-2.7345042	2	4	4	4	4	ID	fr	réponses	Latin	answers	None/not applicable
96	12.717514	12.679015	3	3	3	3	7	ID	fr	salut	Latin	hi	None/not applicable
97	3.832421	11.932549	1	1	5	6	1	ID	fr	message	Latin	message	None/not applicable
98	4.630088	11.275261	1	1	5	6	1	ID	fr	écrit	Latin	wrote	None/not applicable
99	12.310069	12.383813	3	3	3	3	7	ID	fr	invités	Latin	guests	None/not applicable
100	12.520908	6.7379484	0	0	0	0	0	ID	fr	sujet	Latin	subject	None/not applicable
101	5.063092	10.587568	1	1	5	6	5	ID	fr	édition	Latin	edition	None/not applicable
102	4.4095163	11.52305	1	1	5	6	1	ID	fr	posté	Latin	posted	None/not applicable
103	14.27679	13.436998	3	3	3	3	3	ID	fr	merci	Latin	thank you	None/not applicable
